[2025-08-11 11:44:28] ℹ️ Processo 71000.012168/2024-91 sem links.
[2025-08-11 11:44:28] Iniciando scraping do processo: 71000.021168/2024-82
[2025-08-11 11:44:30] ℹ️ Processo 71000.021168/2024-82 sem links.
[2025-08-11 11:44:30] Iniciando scraping do processo: 71000.013271/2024-59
[2025-08-11 11:44:33] ℹ️ Processo 71000.013271/2024-59 sem links.
[2025-08-11 11:44:33] Iniciando scraping do processo: 71000.014197/2024-98
[2025-08-11 11:44:36] ℹ️ Processo 71000.014197/2024-98 sem links.
[2025-08-11 11:44:36] Iniciando scraping do processo: 71000.012430/2024-06
[2025-08-11 11:44:38] ℹ️ Processo 71000.012430/2024-06 sem links.
[2025-08-11 11:44:38] Iniciando scraping do processo: 71000.025590/2024-15
[2025-08-11 11:44:41] ℹ️ Processo 71000.025590/2024-15 sem links.
[2025-08-11 11:44:41] Iniciando scraping do processo: 71000.012129/2024-94
[2025-08-11 11:44:43] ℹ️ Processo 71000.012129/2024-94 sem links.
[2025-08-11 11:44:43] Iniciando scraping do processo: 71000.063239/2023-33
[2025-08-11 11:44:46] ℹ️ Processo 71000.063239/2023-33 sem links.
[2025-08-11 11:44:46] Iniciando scraping do processo: 71000.016867/2024-19
[2025-08-11 11:44:49] ℹ️ Processo 71000.016867/2024-19 sem links.
[2025-08-11 11:44:49] Iniciando scraping do processo: 71000.010831/2024-13
[2025-08-11 11:44:52] ℹ️ Processo 71000.010831/2024-13 sem links.
[2025-08-11 11:44:52] Iniciando scraping do processo: 71000.011844/2024-18
[2025-08-11 11:44:55] ℹ️ Processo 71000.011844/2024-18 sem links.
[2025-08-11 11:44:55] Iniciando scraping do processo: 71000.016864/2024-77
[2025-08-11 11:44:58] ℹ️ Processo 71000.016864/2024-77 sem links.
[2025-08-11 11:44:58] Iniciando scraping do processo: 71000.013358/2024-26
[2025-08-11 11:45:00] ℹ️ Processo 71000.013358/2024-26 sem links.
[2025-08-11 11:45:00] Iniciando scraping do processo: 71000.014079/2024-80
[2025-08-11 11:45:03] ℹ️ Processo 71000.014079/2024-80 sem links.
[2025-08-11 11:45:03] Iniciando scraping do processo: 71000.017459/2024-76
[2025-08-11 11:45:06] ℹ️ Processo 71000.017459/2024-76 sem links.
[2025-08-11 11:45:06] Iniciando scraping do processo: 71000.011860/2024-01
[2025-08-11 11:45:08] ℹ️ Processo 71000.011860/2024-01 sem links.
[2025-08-11 11:45:08] Iniciando scraping do processo: 71000.041280/2024-30
[2025-08-11 11:45:11] ℹ️ Processo 71000.041280/2024-30 sem links.
[2025-08-11 11:45:11] Iniciando scraping do processo: 71000.016671/2024-16
[2025-08-11 11:45:14] ℹ️ Processo 71000.016671/2024-16 sem links.
[2025-08-11 11:45:14] Iniciando scraping do processo: 71000.013795/2024-40
[2025-08-11 11:45:17] ℹ️ Processo 71000.013795/2024-40 sem links.
[2025-08-11 11:45:17] Iniciando scraping do processo: 71000.048362/2024-13
[2025-08-11 11:45:19] ℹ️ Processo 71000.048362/2024-13 sem links.
[2025-08-11 11:45:19] Iniciando scraping do processo: 71000.011624/2024-86
[2025-08-11 11:45:22] ℹ️ Processo 71000.011624/2024-86 sem links.
[2025-08-11 11:45:22] Iniciando scraping do processo: 71000.053034/2024-21
[2025-08-11 11:45:25] ℹ️ Processo 71000.053034/2024-21 sem links.
[2025-08-11 11:45:25] Iniciando scraping do processo: 71000.054304/2024-11
[2025-08-11 11:45:27] ℹ️ Processo 71000.054304/2024-11 sem links.
[2025-08-11 11:45:27] Iniciando scraping do processo: 71000.011250/2024-07
[2025-08-11 11:45:30] ℹ️ Processo 71000.011250/2024-07 sem links.
[2025-08-11 11:45:30] Iniciando scraping do processo: 71000.012064/2024-87
[2025-08-11 11:45:32] ℹ️ Processo 71000.012064/2024-87 sem links.
[2025-08-11 11:45:32] Iniciando scraping do processo: 71000.055723/2024-70
[2025-08-11 11:45:35] ℹ️ Processo 71000.055723/2024-70 sem links.
[2025-08-11 11:45:35] Iniciando scraping do processo: 71000.016605/2024-46
[2025-08-11 11:45:38] ℹ️ Processo 71000.016605/2024-46 sem links.
[2025-08-11 11:45:38] Iniciando scraping do processo: 71000.012875/2024-88
[2025-08-11 11:45:40] ℹ️ Processo 71000.012875/2024-88 sem links.
[2025-08-11 11:45:41] Iniciando scraping do processo: 71000.017328/2024-99
[2025-08-11 11:45:44] ℹ️ Processo 71000.017328/2024-99 sem links.
[2025-08-11 11:45:44] Iniciando scraping do processo: 71000.011644/2024-57
[2025-08-11 11:45:47] ℹ️ Processo 71000.011644/2024-57 sem links.
[2025-08-11 11:45:47] Iniciando scraping do processo: 71000.016848/2024-84
[2025-08-11 11:45:50] ℹ️ Processo 71000.016848/2024-84 sem links.
[2025-08-11 11:45:50] Iniciando scraping do processo: 71000.011169/2024-19
[2025-08-11 11:45:52] ℹ️ Processo 71000.011169/2024-19 sem links.
[2025-08-11 11:45:52] Iniciando scraping do processo: 71000.014082/2024-01
[2025-08-11 11:45:55] ℹ️ Processo 71000.014082/2024-01 sem links.
[2025-08-11 11:45:55] Iniciando scraping do processo: 71000.013346/2024-00
[2025-08-11 11:45:58] ℹ️ Processo 71000.013346/2024-00 sem links.
[2025-08-11 11:45:58] Iniciando scraping do processo: 71000.011799/2024-93
[2025-08-11 11:46:01] ℹ️ Processo 71000.011799/2024-93 sem links.
[2025-08-11 11:46:01] Iniciando scraping do processo: 71000.012891/2024-71
[2025-08-11 11:46:04] ℹ️ Processo 71000.012891/2024-71 sem links.
[2025-08-11 11:46:04] Iniciando scraping do processo: 71000.090314/2024-10
[2025-08-11 11:46:07] ℹ️ Processo 71000.090314/2024-10 sem links.
[2025-08-11 11:46:07] Iniciando scraping do processo: 71000.011310/2024-83
[2025-08-11 11:46:09] ℹ️ Processo 71000.011310/2024-83 sem links.
[2025-08-11 11:46:09] Iniciando scraping do processo: 71000.021172/2024-41
[2025-08-11 11:46:12] ℹ️ Processo 71000.021172/2024-41 sem links.
[2025-08-11 11:46:12] Iniciando scraping do processo: 71000.026633/2024-71
[2025-08-11 11:46:15] ℹ️ Processo 71000.026633/2024-71 sem links.
[2025-08-11 11:46:15] Iniciando scraping do processo: 71000.075031/2024-48
[2025-08-11 11:46:17] ℹ️ Processo 71000.075031/2024-48 sem links.
[2025-08-11 11:46:17] Iniciando scraping do processo: 71000.044189/2024-76
[2025-08-11 11:46:20] ℹ️ Processo 71000.044189/2024-76 sem links.
[2025-08-11 11:46:20] Iniciando scraping do processo: 71000.013188/2024-80
[2025-08-11 11:46:22] ℹ️ Processo 71000.013188/2024-80 sem links.
[2025-08-11 11:46:22] Iniciando scraping do processo: 71000.016672/2024-61
[2025-08-11 11:46:25] ℹ️ Processo 71000.016672/2024-61 sem links.
[2025-08-11 11:46:25] Iniciando scraping do processo: 71000.011245/2024-96
[2025-08-11 11:46:28] ℹ️ Processo 71000.011245/2024-96 sem links.
[2025-08-11 11:46:28] Iniciando scraping do processo: 71000.016608/2024-80
[2025-08-11 11:46:30] ℹ️ Processo 71000.016608/2024-80 sem links.
[2025-08-11 11:46:30] Iniciando scraping do processo: 71000.012672/2024-91
[2025-08-11 11:46:33] ℹ️ Processo 71000.012672/2024-91 sem links.
[2025-08-11 11:46:33] Iniciando scraping do processo: 71000.013086/2024-64
[2025-08-11 11:46:35] ℹ️ Processo 71000.013086/2024-64 sem links.
[2025-08-11 11:46:36] Iniciando scraping do processo: 71000.011638/2024-08
[2025-08-11 11:46:38] ℹ️ Processo 71000.011638/2024-08 sem links.
[2025-08-11 11:46:38] Iniciando scraping do processo: 71000.017487/2024-93
[2025-08-11 11:46:41] ℹ️ Processo 71000.017487/2024-93 sem links.
[2025-08-11 11:46:41] Iniciando scraping do processo: 71000.011823/2024-94
[2025-08-11 11:46:44] ℹ️ Processo 71000.011823/2024-94 sem links.
[2025-08-11 11:46:44] Iniciando scraping do processo: 71000.010844/2024-92
[2025-08-11 11:46:46] ℹ️ Processo 71000.010844/2024-92 sem links.
[2025-08-11 11:46:46] Iniciando scraping do processo: 71000.012018/2024-88
[2025-08-11 11:46:49] ℹ️ Processo 71000.012018/2024-88 sem links.
[2025-08-11 11:46:49] Iniciando scraping do processo: 71000.016993/2024-65
[2025-08-11 11:46:52] ℹ️ Processo 71000.016993/2024-65 sem links.
[2025-08-11 11:46:52] Iniciando scraping do processo: 71000.022001/2024-39
[2025-08-11 11:46:54] ℹ️ Processo 71000.022001/2024-39 sem links.
[2025-08-11 11:46:54] Iniciando scraping do processo: 71000.017360/2024-74
[2025-08-11 11:46:57] ℹ️ Processo 71000.017360/2024-74 sem links.
[2025-08-11 11:46:57] Iniciando scraping do processo: 71000.017004/2024-51
[2025-08-11 11:47:00] ℹ️ Processo 71000.017004/2024-51 sem links.
