[2025-07-14 08:20:13] Iniciando scraping do processo: 71000.016864/2024-77
[2025-07-14 08:20:16] ℹ️ Processo 71000.016864/2024-77 sem links.
[2025-07-14 08:20:16] Iniciando scraping do processo: 71000.013358/2024-26
[2025-07-14 08:20:18] ℹ️ Processo 71000.013358/2024-26 sem links.
[2025-07-14 08:20:18] Iniciando scraping do processo: 71000.014079/2024-80
[2025-07-14 08:20:21] ℹ️ Processo 71000.014079/2024-80 sem links.
[2025-07-14 08:20:21] Iniciando scraping do processo: 71000.017459/2024-76
[2025-07-14 08:20:24] ℹ️ Processo 71000.017459/2024-76 sem links.
[2025-07-14 08:20:24] Iniciando scraping do processo: 71000.011860/2024-01
[2025-07-14 08:20:26] ℹ️ Processo 71000.011860/2024-01 sem links.
[2025-07-14 08:20:26] Iniciando scraping do processo: 71000.041280/2024-30
[2025-07-14 08:20:29] ℹ️ Processo 71000.041280/2024-30 sem links.
[2025-07-14 08:20:29] Iniciando scraping do processo: 71000.016671/2024-16
[2025-07-14 08:20:31] ℹ️ Processo 71000.016671/2024-16 sem links.
[2025-07-14 08:20:31] Iniciando scraping do processo: 71000.013795/2024-40
[2025-07-14 08:20:34] ℹ️ Processo 71000.013795/2024-40 sem links.
[2025-07-14 08:20:34] Iniciando scraping do processo: 71000.048362/2024-13
[2025-07-14 08:20:37] ℹ️ Processo 71000.048362/2024-13 sem links.
[2025-07-14 08:20:37] Iniciando scraping do processo: 71000.011624/2024-86
[2025-07-14 08:20:40] ℹ️ Processo 71000.011624/2024-86 sem links.
[2025-07-14 08:20:40] Iniciando scraping do processo: 71000.053034/2024-21
[2025-07-14 08:20:42] ℹ️ Processo 71000.053034/2024-21 sem links.
[2025-07-14 08:20:42] Iniciando scraping do processo: 71000.054304/2024-11
[2025-07-14 08:20:45] ℹ️ Processo 71000.054304/2024-11 sem links.
[2025-07-14 08:20:45] Iniciando scraping do processo: 71000.011250/2024-07
[2025-07-14 08:20:48] ℹ️ Processo 71000.011250/2024-07 sem links.
[2025-07-14 08:20:48] Iniciando scraping do processo: 71000.012064/2024-87
[2025-07-14 08:20:51] ℹ️ Processo 71000.012064/2024-87 sem links.
[2025-07-14 08:20:51] Iniciando scraping do processo: 71000.055723/2024-70
[2025-07-14 08:20:53] ℹ️ Processo 71000.055723/2024-70 sem links.
[2025-07-14 08:20:54] Iniciando scraping do processo: 71000.016605/2024-46
[2025-07-14 08:20:56] ℹ️ Processo 71000.016605/2024-46 sem links.
[2025-07-14 08:20:56] Iniciando scraping do processo: 71000.012875/2024-88
[2025-07-14 08:20:59] ℹ️ Processo 71000.012875/2024-88 sem links.
[2025-07-14 08:20:59] Iniciando scraping do processo: 71000.017328/2024-99
[2025-07-14 08:21:02] ℹ️ Processo 71000.017328/2024-99 sem links.
[2025-07-14 08:21:02] Iniciando scraping do processo: 71000.011644/2024-57
[2025-07-14 08:21:04] ℹ️ Processo 71000.011644/2024-57 sem links.
[2025-07-14 08:21:05] Iniciando scraping do processo: 71000.016848/2024-84
[2025-07-14 08:21:07] ℹ️ Processo 71000.016848/2024-84 sem links.
[2025-07-14 08:21:07] Iniciando scraping do processo: 71000.011169/2024-19
[2025-07-14 08:21:10] ℹ️ Processo 71000.011169/2024-19 sem links.
[2025-07-14 08:21:10] Iniciando scraping do processo: 71000.014082/2024-01
[2025-07-14 08:21:13] ℹ️ Processo 71000.014082/2024-01 sem links.
[2025-07-14 08:21:13] Iniciando scraping do processo: 71000.013346/2024-00
[2025-07-14 08:21:15] ℹ️ Processo 71000.013346/2024-00 sem links.
[2025-07-14 08:21:15] Iniciando scraping do processo: 71000.011799/2024-93
[2025-07-14 08:21:18] ℹ️ Processo 71000.011799/2024-93 sem links.
[2025-07-14 08:21:18] Iniciando scraping do processo: 71000.012891/2024-71
[2025-07-14 08:21:21] ℹ️ Processo 71000.012891/2024-71 sem links.
[2025-07-14 08:21:21] Iniciando scraping do processo: 71000.090314/2024-10
[2025-07-14 08:21:23] ℹ️ Processo 71000.090314/2024-10 sem links.
[2025-07-14 08:21:23] Iniciando scraping do processo: 71000.011310/2024-83
[2025-07-14 08:21:26] ℹ️ Processo 71000.011310/2024-83 sem links.
[2025-07-14 08:21:26] Iniciando scraping do processo: 71000.021172/2024-41
[2025-07-14 08:21:29] ℹ️ Processo 71000.021172/2024-41 sem links.
[2025-07-14 08:21:29] Iniciando scraping do processo: 71000.026633/2024-71
[2025-07-14 08:21:32] ℹ️ Processo 71000.026633/2024-71 sem links.
